"family","taxon","author"
"Acanthaceae","Avicennia marina","(Forssk.) Vierh."
"Alseuosmiaceae","Periomphale balansae","Baill."
"Alseuosmiaceae","Platyspermation crassifolium","Guillaumin"
"Amborellaceae","Amborella trichopoda","Baill."
"Anacardiaceae","Euroschinus aoupiniensis","Hoff"
"Anacardiaceae","Euroschinus elegans","Engl."
"Anacardiaceae","Euroschinus jaffrei","Hoff"
"Anacardiaceae","Euroschinus obtusifolius","Engl."
"Anacardiaceae","Euroschinus rubromarginatus","Baker f."
"Anacardiaceae","Euroschinus verrucosus","Engl."
"Anacardiaceae","Euroschinus vieillardii","Engl."
"Anacardiaceae","Pleiogynium timoriense","(DC.) Leenh."
"Anacardiaceae","Semecarpus ater","(G. Forst.) Vieill."
"Anacardiaceae","Semecarpus balansae","Engl."
"Anacardiaceae","Semecarpus neocaledonicus","Engl."
"Annonaceae","Goniothalamus hmoope","Munzinger & D.M.Johnson"
"Annonaceae","Goniothalamus obtusatus","(Baill.) R.M.K.Saunders"
"Annonaceae","Huberantha nitidissima","(Dunal) Chaowasku"
"Annonaceae","Meiogyne baillonii","(Guillaumin) Heusden"
"Annonaceae","Meiogyne lecardii","(Guillaumin) Heusden"
"Annonaceae","Xylopia dibaccata","Däniker"
"Annonaceae","Xylopia vieillardii","Baill."
"Apiaceae","Apiopetalum glabratum","Baill."
"Apiaceae","Apiopetalum velutinum","Baill."
"Apocynaceae","Alstonia balansae","Guillaumin"
"Apocynaceae","Alstonia boulindaensis","Boiteau"
"Apocynaceae","Alstonia costata","(G.Forst.) R.Br."
"Apocynaceae","Alstonia lanceolata","Van Heurck & Müll.Arg."
"Apocynaceae","Alstonia lanceolifera","S.Moore"
"Apocynaceae","Alstonia lenormandii","Van Heurck & Müll.Arg."
"Apocynaceae","Alstonia odontophora","Boiteau"
"Apocynaceae","Alstonia quaternata","Van Heurck & Müll.Arg."
"Apocynaceae","Alstonia sphaerocapitata","Boiteau"
"Apocynaceae","Alstonia vieillardii","Van Heurck & Müll.Arg."
"Apocynaceae","Carissa spinarum","L."
"Apocynaceae","Cerbera manghas","L."
"Apocynaceae","Cerbera odollam","Gaertn."
"Apocynaceae","Cerberiopsis candelabra","Vieill. ex Pancher & Sebert"
"Apocynaceae","Cerberiopsis neriifolia","(S.Moore) Boiteau"
"Apocynaceae","Cerberiopsis obtusifolia","(Van Heurck & Müll.Arg.) Boiteau"
"Apocynaceae","Leichhardtia koniamboensis","(Guillaumin) Liede, Gâteblé & Meve"
"Apocynaceae","Ochrosia balansae","(Guillaumin) Baill. ex Guillaumin"
"Apocynaceae","Ochrosia brevituba","Boiteau"
"Apocynaceae","Ochrosia elliptica","Labill."
"Apocynaceae","Ochrosia grandiflora","Boiteau"
"Apocynaceae","Ochrosia inventorum","L.Allorge"
"Apocynaceae","Ochrosia lifuana","Guillaumin"
"Apocynaceae","Ochrosia miana","Baill. ex Guillaumin"
"Apocynaceae","Ochrosia oppositifolia","(Lam.) K.Schum."
"Apocynaceae","Ochrosia sevenetii","Boiteau"
"Apocynaceae","Ochrosia silvatica","Däniker"
"Apocynaceae","Ochrosia thiollierei","Montrouz."
"Apocynaceae","Rauvolfia balansae","(Baill.) Boiteau"
"Apocynaceae","Rauvolfia semperflorens","(Müll.Arg.) Schltr."
"Apocynaceae","Tabernaemontana cerifera","Pancher & Sebert"
"Apocynaceae","Tabernaemontana pandacaqui","Poir."
"Aquifoliaceae","Ilex sebertii","Pancher"
"Araliaceae","Meryta balansae","Baill."
"Araliaceae","Meryta coriacea","Baill."
"Araliaceae","Meryta denhamii","Seem."
"Araliaceae","Meryta oxylaena","Baill."
"Araliaceae","Meryta pachycarpa","Baill."
"Araliaceae","Meryta pandanicarpa","Guillaumin"
"Araliaceae","Meryta rivularis","Lowry"
"Araliaceae","Meryta schizolaena","Baill."
"Araliaceae","Meryta sonchifolia","(Linden) Linden & André"
"Araliaceae","Plerandra baillonii","(R.Vig.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra crassipes","(Baill.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra elegantissima","(Veitch ex Mast.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra elongata","(Baill.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra emiliana","(Baill.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra gabriellae","(Baill.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra leptophylla","(Veitch ex T.Moore) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra nono","(Baill.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra osyana","(Veitch ex Regel) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra pachyphylla","(Harms) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra pancheri","(Baill.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra plerandroides","(R. Vig.) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra polydactylis","(Montr.) Lowry, G.M Plunkett & Frodin"
"Araliaceae","Plerandra reginae","(Linden ex W.Richards) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Plerandra veilloniorum","Lowry & G.M.Plunkett"
"Araliaceae","Plerandra veitchii","(Carrière) Lowry, G.M.Plunkett & Frodin"
"Araliaceae","Polyscias balansae","(Baill.) Harms"
"Araliaceae","Polyscias biformis","(Philipson) Lowry & G.M.Plunkett"
"Araliaceae","Polyscias bracteata","(R.Vig.) Lowry"
"Araliaceae","Polyscias cissodendron","(C.Moore & F.Muell.) Harms"
"Araliaceae","Polyscias crenata","(Pancher & Sebert) Frodin"
"Araliaceae","Polyscias dioica","(Vieill. ex Pancher & Sebert) Harms"
"Araliaceae","Polyscias guilfoylei","(W.Bull) L.H.Bailey"
"Araliaceae","Polyscias lecardii","(R.Vig.) Lowry"
"Araliaceae","Polyscias mackeei","Lowry & G.M.Plunkett"
"Araliaceae","Polyscias microbotrys","(Baill.) Harms"
"Araliaceae","Polyscias otopyrena","(Baill.) Lowry & G.M.Plunkett"
"Araliaceae","Polyscias pancheri","(Baill.) Harms"
"Araliaceae","Polyscias scopoliae","(Baill.) Lowry"
"Araliaceae","Polyscias vieillardii","(Baill.) Lowry & G.M.Plunkett"
"Araliaceae","Polyscias weinmanniae","(Baill.) Harms"
"Araliaceae","Schefflera candelabrum","Baill."
"Araliaceae","Schefflera pseudocandelabrum","R.Vig."
"Araliaceae","Schefflera vieillardii","Baill."
"Araucariaceae","Agathis lanceolata","Warb."
"Araucariaceae","Agathis montana","de Laub."
"Araucariaceae","Agathis moorei","(Lindl.) Mast."
"Araucariaceae","Agathis ovata","(C.Moore ex Vieill.) Warb."
"Araucariaceae","Araucaria bernieri","J.Buchholz"
"Araucariaceae","Araucaria biramulata","J.Buchholz"
"Araucariaceae","Araucaria columnaris","(G.Forst.) Hook."
"Araucariaceae","Araucaria goroensis","R.R.Mill & Ruhsam"
"Araucariaceae","Araucaria humboldtensis","J.Buchholz"
"Araucariaceae","Araucaria laubenfelsii","Corbasson"
"Araucariaceae","Araucaria luxurians","(Brongn. & Gris) de Laub."
"Araucariaceae","Araucaria montana","Brongn. & Gris"
"Araucariaceae","Araucaria muelleri","(Carrière) Brongn. & Gris"
"Araucariaceae","Araucaria nemorosa","de Laub."
"Araucariaceae","Araucaria rulei","F.Muell."
"Araucariaceae","Araucaria schmidii","de Laub."
"Araucariaceae","Araucaria scopulorum","de Laub."
"Araucariaceae","Araucaria subulata","Vieill."
"Arecaceae","Actinokentia divaricata","(Brongn.) Dammer"
